NAME|CITY|LAND|Region|Updated
ATACAMA Capital GmbH|München|GERMANY|Europe|10/08/2015
ATEbank, Frankfurt branch of Piraeus Bank S.A.|Frankfurt am Main|GERMANY|Europe|10/08/2015
Athlon Car Lease Germany GmbH & Co. KG|Düsseldorf|GERMANY|Europe|10/08/2015
ATLANTICLUX Lebensversicherung S.A. Niederlassung Deutschland|Saarbrücken|GERMANY|Europe|10/08/2015
ATLAS AUTO-LEASING GmbH|Münster, Westf|GERMANY|Europe|10/08/2015
ATON Vermögensverwaltungs GmbH|Bruchköbel|GERMANY|Europe|10/08/2015
Atradius Kreditversicherung, Niederlassung der Atradius Credit Insurance N.V.|Köln|GERMANY|Europe|10/08/2015
Attijariwafa Bank Europe|Frankfurt am Main|GERMANY|Europe|10/08/2015
ATVANTIS Financial Distribution GmbH|Gera|GERMANY|Europe|10/08/2015
Aubilia Vermögensmanagement GmbH|Düsseldorf|GERMANY|Europe|10/08/2015
Auctus Management GmbH & Co. KG|Grünwald, Kr München|GERMANY|Europe|10/08/2015
Auda (Deutschland) GmbH|Bad Homburg v d Höhe|GERMANY|Europe|10/08/2015
Auda Fondsverwaltungs GmbH|München|GERMANY|Europe|10/08/2015
Audi Pensionskasse-Altersversorgung der AUTO UNION GmbH, Versicherungsverein auf Gegenseitigk. (VVaG) Ingolst./Donau|Ingolstadt|GERMANY|Europe|10/08/2015
Augenoptiker Ausgleichskasse VVaG (AKA)|Dortmund|GERMANY|Europe|10/08/2015
augmentum finanz GmbH|Hamburg|GERMANY|Europe|10/08/2015
Augsburger Aktienbank Aktiengesellschaft|Augsburg, Bay|GERMANY|Europe|10/08/2015
Augusta Vermögensverwaltung GmbH|Mannheim|GERMANY|Europe|10/08/2015
Augusta-Bank eG Raiffeisen-Volksbank|Augsburg, Bay|GERMANY|Europe|10/08/2015
Augustus Anlagen Vermietungs- GmbH|Augsburg, Bay|GERMANY|Europe|10/08/2015
AUMA KREDITBANK GMBH & CO. KG, Bank für Finanzierungen|Annweiler am Trifels|GERMANY|Europe|10/08/2015
AURECON Vermögensverwaltungsgesellschaft mbH|Gauting|GERMANY|Europe|10/08/2015
Auricos Asset und Portfolio Management GmbH|Kiel|GERMANY|Europe|10/08/2015
AURIGA GmbH|Eschborn, Taunus|GERMANY|Europe|10/08/2015
Australia and New Zealand Banking Group Ltd. Niederlassung Frankfurt am Main|Frankfurt am Main|GERMANY|Europe|10/08/2015
Austria Leasing GmbH|Eschborn, Taunus|GERMANY|Europe|10/08/2015
Auto Pieroth Leasing OHG|Bingen am Rhein|GERMANY|Europe|10/08/2015
Auto-Müller Gesellschaft mit beschränkter Haftung|Mainz a Rhein|GERMANY|Europe|10/08/2015
AutoBank AG, Zweigniederlassung Deutschland|Oberhaching b München|GERMANY|Europe|10/08/2015
Automobilclub von Deutschland e.V.|Frankfurt am Main|GERMANY|Europe|10/08/2015
Autovermietung Hofmann GmbH|Grafenrheinfeld|GERMANY|Europe|10/08/2015
Autovermietung L.R.K. GmbH|Saalfeld/Saale|GERMANY|Europe|10/08/2015
Autovermietung Ritter GmbH & Co. KG|Chemnitz, Sachs|GERMANY|Europe|10/08/2015
Autovermietung Thiele|Oberlungwitz|GERMANY|Europe|10/08/2015
